id,dataset,method,model,source_model,machine,priority,status,samples,parsed,tool_acc,arg_acc,router_acc,max_input_tokens,train_samples,max_len,train_loss,global_step,eval_path,summary_path
toolbench_source_tiny,toolbench,source,tinyllama,,3060,high,done,314,0.9872611464968153,0.2,0.5594162826420891,,512,3000,512,0.676964171389316,188,results/ood_toolbench_source.json,results/toolbench_source_train.json
toolbench_qwen_full,toolbench,full,qwen2.5-0.5b,,3060,high,done,314,1.0,0.1624203821656051,0.5424628450106157,,512,3000,512,0.9075032751610939,376,results/ood_toolbench_qwen_full.json,results/toolbench_qwen_full_train.json
toolbench_qwen_distill,toolbench,distill,qwen2.5-0.5b,tinyllama,3060,high,done,314,1.0,0.1751592356687898,0.5408704883227176,,512,3000,512,0.24244978052846503,356,results/ood_toolbench_qwen_distill.json,results/toolbench_qwen_distill_train.json
toolbench_qwen_nonparam,toolbench,nonparametric_prompt,qwen2.5-0.5b,,3060,high,done,314,0.6878980891719745,0.12037037037037036,0.589429012345679,,512,,,,,results/ood_toolbench_qwen_nonparam.json,
toolbench_qwen_hybrid_Alinear,toolbench,hybrid_prompt_Alinear,qwen2.5-0.5b,tinyllama,3060,high,done,314,0.9904458598726115,0.09967845659163987,0.5387995712754556,,512,,,,,results/ood_toolbench_qwen_hybrid_Alinear.json,
toolbench_qwen_projected_Alinear,toolbench,projection_Alinear,qwen2.5-0.5b,tinyllama,3060,high,done,314,0.9936305732484076,0.1762820512820513,0.5494123931623932,,512,3000,512,0.8608176048765791,376,results/ood_toolbench_qwen_projected_Alinear.json,results/toolbench_qwen_projected_Alinear_train.json
toolbench_qwen_projected_Amlp,toolbench,projection_Amlp,qwen2.5-0.5b,tinyllama,3060,medium,done,314,0.9936305732484076,0.16346153846153846,0.5487179487179487,,512,3000,512,0.8668109533634591,376,results/ood_toolbench_qwen_projected_Amlp.json,results/toolbench_qwen_projected_Amlp_train.json
toolbench_qwen_full_1024,toolbench,full_1024,qwen2.5-0.5b,,3060,high,done,314,0.9936305732484076,0.40064102564102566,0.586965811965812,,1024,3000,1024,0.38819165559525187,376,results/ood_toolbench_qwen_full_1024.json,results/toolbench_qwen_full_1024_train.json
toolbench_qwen_distill_1024,toolbench,distill_1024,qwen2.5-0.5b,tinyllama,3060,high,blocked,,,,,,,,,,,results/ood_toolbench_qwen_distill_1024.json,results/toolbench_qwen_distill_1024_train.json
toolbench_qwen_projected_Alinear_1024,toolbench,projection_Alinear_1024,qwen2.5-0.5b,tinyllama,3060,high,done,314,0.9936305732484076,0.41025641025641024,0.5884615384615385,,1024,3000,1024,0.3699951083102125,376,results/ood_toolbench_qwen_projected_Alinear_1024.json,results/toolbench_qwen_projected_Alinear_1024_train.json
toolbench_qwen_nonparam_1024,toolbench,nonparametric_prompt_1024,qwen2.5-0.5b,,3060,high,done,314,0.6178343949044586,0.34536082474226804,0.6206185567010308,,1024,,,,,results/ood_toolbench_qwen_nonparam_1024.json,
toolbench_qwen_hybrid_Alinear_1024,toolbench,hybrid_prompt_Alinear_1024,qwen2.5-0.5b,tinyllama,3060,high,done,314,0.9968152866242038,0.3993610223642173,0.5954206602768903,,1024,,,,,results/ood_toolbench_qwen_hybrid_Alinear_1024.json,
toolbench_qwen_hybrid_router_prior_1024,toolbench,hybrid_router_prior_1024,qwen2.5-0.5b,tinyllama,3060,high,done,314,0.9904458598726115,0.3504823151125402,0.5968649517684887,0.267515923566879,1024,,,,,results/ood_toolbench_qwen_hybrid_router_prior_1024.json,
toolbench_qwen_mcpstyle_1024,toolbench,mcpstyle_prompt_1024,qwen2.5-0.5b,,3060,high,done,314,0.23885350318471338,0.49333333333333335,0.7222222222222223,,1024,,,,,results/ood_toolbench_qwen_mcpstyle_1024.json,
toolbench_qwen_mcpstyle_hybrid_Alinear_1024,toolbench,mcpstyle_hybrid_Alinear_1024,qwen2.5-0.5b,tinyllama,3060,high,done,314,0.43312101910828027,0.4632352941176471,0.7022058823529411,,1024,,,,,results/ood_toolbench_qwen_mcpstyle_hybrid_Alinear_1024.json,
apibank_source_tiny,apibank,source,tinyllama,,3060,high,done,467,0.9807280513918629,0.8034934497816594,0.5565866084425036,,1024,3000,1024,0.14166161703302504,376,results/ood_apibank_source.json,results/apibank_source_train.json
apibank_qwen_full,apibank,full,qwen2.5-0.5b,,3060,high,done,467,0.9914346895074947,0.8034557235421166,0.5885529157667386,,1024,3000,1024,0.15829697061092296,376,results/ood_apibank_qwen_full.json,results/apibank_qwen_full_train.json
apibank_qwen_projected_Alinear,apibank,projection_Alinear,qwen2.5-0.5b,tinyllama,3060,high,done,467,0.9914346895074947,0.7883369330453563,0.5707343412526995,,1024,3000,1024,0.14782594271162722,376,results/ood_apibank_qwen_projected_Alinear.json,results/apibank_qwen_projected_Alinear_train.json
apibank_qwen_nonparam,apibank,nonparametric_prompt,qwen2.5-0.5b,,3060,high,done,467,0.19700214132762311,0.7717391304347826,0.5144927536231884,,1024,,,,,results/ood_apibank_qwen_nonparam.json,
apibank_qwen_hybrid_Alinear,apibank,hybrid_prompt_Alinear,qwen2.5-0.5b,tinyllama,3060,high,done,467,0.9486081370449678,0.7223476297968398,0.5393152746425884,,1024,,,,,results/ood_apibank_qwen_hybrid_Alinear.json,
apibank_qwen_hybrid_router_prior,apibank,hybrid_router_prior,qwen2.5-0.5b,tinyllama,3060,high,done,467,0.9850107066381156,0.6173913043478261,0.4693840579710145,0.588865096359743,1024,,,,,results/ood_apibank_qwen_hybrid_router_prior.json,
apibank_qwen_mcpstyle,apibank,mcpstyle_prompt,qwen2.5-0.5b,,3060,high,done,467,0.8351177730192719,0.6871794871794872,0.45384615384615384,,1024,,,,,results/ood_apibank_qwen_mcpstyle.json,
apibank_qwen_mcpstyle_hybrid_Alinear,apibank,mcpstyle_hybrid_Alinear,qwen2.5-0.5b,tinyllama,3060,high,done,467,0.867237687366167,0.674074074074074,0.46069958847736625,,1024,,,,,results/ood_apibank_qwen_mcpstyle_hybrid_Alinear.json,
